City,Pincode,Business_Category,Investment_Lakhs,Competitor_Count,Mall_Proximity,Footfall_Proxy,Rent,Youth_Pop_%,Female_Pop_%,Avg_Income,Population,Total_Area,Male_Pop_%,Success_Ratio
Mumbai,400006,Watch,13,32,1,2452,18997,32,48,25280,445938,522.8,52,0.75
Mumbai,400006,Bakery,17,15,1,2452,18997,32,48,25280,445938,522.8,52,0.89
Mumbai,400006,Shoe,16,18,1,2452,18997,32,48,25280,445938,522.8,52,0.77
Mumbai,400007,Cafe,17,18,1,2185,24857,35,46,45875,199781,853.9,54,0.83
Mumbai,400007,Watch,16,44,1,2185,24857,35,46,45875,199781,853.9,54,0.76
Mumbai,400007,Bakery,17,14,1,2185,24857,35,46,45875,199781,853.9,54,0.9
Mumbai,400007,Shoe,15,27,1,2185,24857,35,46,45875,199781,853.9,54,0.78
Mumbai,400008,Cafe,16,20,0,1872,28994,27,47,44600,148859,342.8,53,0.83
Mumbai,400008,Watch,17,29,0,1872,28994,27,47,44600,148859,342.8,53,0.76
Mumbai,400008,Bakery,11,17,0,1872,28994,27,47,44600,148859,342.8,53,0.9
Mumbai,400008,Shoe,16,29,0,1872,28994,27,47,44600,148859,342.8,53,0.78
Mumbai,400009,Cafe,15,7,1,3276,24279,27,47,37506,272749,557.7,53,0.83
Mumbai,400009,Watch,10,48,1,3276,24279,27,47,37506,272749,557.7,53,0.76
Mumbai,400009,Bakery,9,15,1,3276,24279,27,47,37506,272749,557.7,53,0.9
Mumbai,400009,Shoe,15,29,1,3276,24279,27,47,37506,272749,557.7,53,0.78
Mumbai,400010,Cafe,21,17,1,2267,46263,34,46,51625,329579,43.8,54,0.83
Mumbai,400010,Watch,17,32,1,2267,46263,34,46,51625,329579,43.8,54,0.76
Mumbai,400010,Bakery,13,18,1,2267,46263,34,46,51625,329579,43.8,54,0.9
Mumbai,400010,Shoe,17,33,1,2267,46263,34,46,51625,329579,43.8,54,0.78
Mumbai,400011,Cafe,29,23,1,1986,47280,37,49,76155,267177,781.2,51,0.82
Mumbai,400011,Watch,12,41,1,1986,47280,37,49,76155,267177,781.2,51,0.75
Mumbai,400011,Bakery,14,2,1,1986,47280,37,49,76155,267177,781.2,51,0.89
Mumbai,400011,Shoe,12,30,1,1986,47280,37,49,76155,267177,781.2,51,0.77
Mumbai,400012,Cafe,19,9,1,1903,33198,35,48,54677,278811,253.1,52,0.82
Mumbai,400012,Watch,18,33,1,1903,33198,35,48,54677,278811,253.1,52,0.75
Mumbai,400012,Bakery,11,8,1,1903,33198,35,48,54677,278811,253.1,52,0.89
Mumbai,400012,Shoe,18,34,1,1903,33198,35,48,54677,278811,253.1,52,0.77
Mumbai,400013,Cafe,22,20,1,2059,52476,35,47,79607,165795,272.3,53,0.83
Mumbai,400013,Watch,16,36,1,2059,52476,35,47,79607,165795,272.3,53,0.76
Mumbai,400013,Bakery,12,9,1,2059,52476,35,47,79607,165795,272.3,53,0.9
Mumbai,400013,Shoe,15,36,1,2059,52476,35,47,79607,165795,272.3,53,0.78
Mumbai,400014,Cafe,22,31,0,1360,43424,35,50,69493,86008,560.1,50,0.82
Mumbai,400014,Watch,17,43,0,1360,43424,35,50,69493,86008,560.1,50,0.75
Mumbai,400014,Bakery,12,12,0,1360,43424,35,50,69493,86008,560.1,50,0.89
Mumbai,400014,Shoe,12,28,0,1360,43424,35,50,69493,86008,560.1,50,0.77
Mumbai,400015,Cafe,22,15,0,1413,48378,25,47,68233,139565,25.3,53,0.83
Mumbai,400015,Watch,15,30,0,1413,48378,25,47,68233,139565,25.3,53,0.76
Mumbai,400015,Bakery,13,2,0,1413,48378,25,47,68233,139565,25.3,53,0.9
Mumbai,400015,Shoe,18,27,0,1413,48378,25,47,68233,139565,25.3,53,0.78
Mumbai,400016,Cafe,29,23,1,1685,24960,31,47,38673,219542,430.3,53,0.83
Mumbai,400016,Watch,14,31,1,1685,24960,31,47,38673,219542,430.3,53,0.76
Mumbai,400016,Bakery,10,21,1,1685,24960,31,47,38673,219542,430.3,53,0.9
Mumbai,400016,Shoe,18,26,1,1685,24960,31,47,38673,219542,430.3,53,0.78
Mumbai,400017,Cafe,20,15,1,2643,27441,30,48,39885,303669,381.5,52,0.82
Mumbai,400017,Watch,16,30,1,2643,27441,30,48,39885,303669,381.5,52,0.75
Mumbai,400017,Bakery,11,7,1,2643,27441,30,48,39885,303669,381.5,52,0.89
Mumbai,400017,Shoe,22,26,1,2643,27441,30,48,39885,303669,381.5,52,0.77
Mumbai,400018,Cafe,21,12,0,1198,31933,30,47,49414,125034,123.7,53,0.83
Mumbai,400018,Watch,13,39,0,1198,31933,30,47,49414,125034,123.7,53,0.76
Mumbai,400018,Bakery,11,22,0,1198,31933,30,47,49414,125034,123.7,53,0.9
Mumbai,400018,Shoe,22,22,0,1198,31933,30,47,49414,125034,123.7,53,0.78
Mumbai,400019,Cafe,21,7,1,2079,61767,33,46,78681,385008,53.3,54,0.83
Mumbai,400019,Watch,16,50,1,2079,61767,33,46,78681,385008,53.3,54,0.76
Mumbai,400019,Bakery,11,15,1,2079,61767,33,46,78681,385008,53.3,54,0.9
Mumbai,400019,Shoe,12,35,1,2079,61767,33,46,78681,385008,53.3,54,0.78
Mumbai,400020,Cafe,18,17,1,2509,44438,27,48,70233,408955,622.3,52,0.82
Mumbai,400020,Watch,12,28,1,2509,44438,27,48,70233,408955,622.3,52,0.75
Mumbai,400020,Bakery,18,4,1,2509,44438,27,48,70233,408955,622.3,52,0.89
Mumbai,400020,Shoe,13,26,1,2509,44438,27,48,70233,408955,622.3,52,0.77
Mumbai,400021,Cafe,30,30,0,1359,26222,35,48,47396,116481,384.9,52,0.82
Mumbai,400021,Watch,15,34,0,1359,26222,35,48,47396,116481,384.9,52,0.75
Mumbai,400021,Bakery,14,20,0,1359,26222,35,48,47396,116481,384.9,52,0.89
Mumbai,400021,Shoe,14,18,0,1359,26222,35,48,47396,116481,384.9,52,0.77
Mumbai,400022,Cafe,18,20,0,1553,40916,32,47,60179,103593,229.7,53,0.83
Mumbai,400022,Watch,12,26,0,1553,40916,32,47,60179,103593,229.7,53,0.76
Mumbai,400022,Bakery,11,9,0,1553,40916,32,47,60179,103593,229.7,53,0.9
Mumbai,400022,Shoe,14,34,0,1553,40916,32,47,60179,103593,229.7,53,0.78
Mumbai,400024,Cafe,20,25,1,2336,37164,27,47,58192,403472,353.8,53,0.83
Mumbai,400024,Watch,17,31,1,2336,37164,27,47,58192,403472,353.8,53,0.76
Mumbai,400024,Bakery,9,13,1,2336,37164,27,47,58192,403472,353.8,53,0.9
Mumbai,400024,Shoe,20,25,1,2336,37164,27,47,58192,403472,353.8,53,0.78
Mumbai,400025,Cafe,21,17,1,2297,47662,38,46,75282,227636,695.1,54,0.83
Mumbai,400025,Watch,19,30,1,2297,47662,38,46,75282,227636,695.1,54,0.76
Mumbai,400025,Bakery,17,18,1,2297,47662,38,46,75282,227636,695.1,54,0.9
Mumbai,400025,Shoe,22,34,1,2297,47662,38,46,75282,227636,695.1,54,0.78
Mumbai,400026,Cafe,16,20,1,1815,41757,28,49,63220,421795,817.5,51,0.82
Mumbai,400026,Watch,16,32,1,1815,41757,28,49,63220,421795,817.5,51,0.75
Mumbai,400026,Bakery,15,11,1,1815,41757,28,49,63220,421795,817.5,51,0.89
Mumbai,400026,Shoe,12,28,1,1815,41757,28,49,63220,421795,817.5,51,0.77
Mumbai,400027,Cafe,17,9,1,3431,26305,29,47,38167,369999,439.7,53,0.83
Mumbai,400027,Watch,13,30,1,3431,26305,29,47,38167,369999,439.7,53,0.76
Mumbai,400027,Bakery,8,10,1,3431,26305,29,47,38167,369999,439.7,53,0.9
Mumbai,400027,Shoe,22,21,1,3431,26305,29,47,38167,369999,439.7,53,0.78
Mumbai,400028,Cafe,22,21,0,1769,33644,34,47,55760,89222,672.0,53,0.83
Mumbai,400028,Watch,12,28,0,1769,33644,34,47,55760,89222,672.0,53,0.76
Mumbai,400028,Bakery,9,7,0,1769,33644,34,47,55760,89222,672.0,53,0.9
Mumbai,400028,Shoe,15,28,0,1769,33644,34,47,55760,89222,672.0,53,0.78
Mumbai,400029,Cafe,24,9,1,2421,43537,38,50,59225,317372,82.4,50,0.82
Mumbai,400029,Watch,17,18,1,2421,43537,38,50,59225,317372,82.4,50,0.75
Mumbai,400029,Bakery,11,17,1,2421,43537,38,50,59225,317372,82.4,50,0.89
Mumbai,400029,Shoe,22,23,1,2421,43537,38,50,59225,317372,82.4,50,0.77
Mumbai,400030,Cafe,21,19,1,2767,32768,25,50,60042,312633,730.1,50,0.82
Mumbai,400030,Watch,10,43,1,2767,32768,25,50,60042,312633,730.1,50,0.75
Mumbai,400030,Bakery,18,20,1,2767,32768,25,50,60042,312633,730.1,50,0.89
Mumbai,400030,Shoe,18,36,1,2767,32768,25,50,60042,312633,730.1,50,0.77
Mumbai,400031,Cafe,16,32,0,1350,40342,31,47,70067,36437,430.6,53,0.83
Mumbai,400031,Watch,13,36,0,1350,40342,31,47,70067,36437,430.6,53,0.76
Mumbai,400031,Bakery,14,13,0,1350,40342,31,47,70067,36437,430.6,53,0.9
Mumbai,400031,Shoe,23,25,0,1350,40342,31,47,70067,36437,430.6,53,0.78
Mumbai,400032,Cafe,30,23,0,1627,18892,29,47,29479,70591,835.0,53,0.83
Mumbai,400032,Watch,17,36,0,1627,18892,29,47,29479,70591,835.0,53,0.76
Mumbai,400032,Bakery,11,19,0,1627,18892,29,47,29479,70591,835.0,53,0.9
Mumbai,400032,Shoe,13,24,0,1627,18892,29,47,29479,70591,835.0,53,0.78
Mumbai,400033,Cafe,30,14,1,2512,26647,38,48,35284,329016,163.0,52,0.82
Mumbai,400033,Watch,17,25,1,2512,26647,38,48,35284,329016,163.0,52,0.75
Mumbai,400033,Bakery,15,10,1,2512,26647,38,48,35284,329016,163.0,52,0.89
Mumbai,400033,Shoe,24,42,1,2512,26647,38,48,35284,329016,163.0,52,0.77
Mumbai,400034,Cafe,15,18,1,2359,15526,38,47,21813,307314,331.0,53,0.83
Mumbai,400034,Watch,18,31,1,2359,15526,38,47,21813,307314,331.0,53,0.76
Mumbai,400034,Bakery,16,6,1,2359,15526,38,47,21813,307314,331.0,53,0.9
Mumbai,400034,Shoe,18,25,1,2359,15526,38,47,21813,307314,331.0,53,0.78
Mumbai,400035,Cafe,19,19,1,2145,18913,36,48,28632,317673,311.8,52,0.82
Mumbai,400035,Watch,19,27,1,2145,18913,36,48,28632,317673,311.8,52,0.75
Mumbai,400035,Bakery,8,21,1,2145,18913,36,48,28632,317673,311.8,52,0.89
Mumbai,400035,Shoe,14,27,1,2145,18913,36,48,28632,317673,311.8,52,0.77
Mumbai,400037,Cafe,16,21,1,2711,37339,35,50,60489,387566,552.9,50,0.82
Mumbai,400037,Watch,16,36,1,2711,37339,35,50,60489,387566,552.9,50,0.75
Mumbai,400037,Bakery,18,18,1,2711,37339,35,50,60489,387566,552.9,50,0.89
Mumbai,400037,Shoe,20,37,1,2711,37339,35,50,60489,387566,552.9,50,0.77
Mumbai,400049,Cafe,16,22,0,1601,19059,30,50,27242,65066,319.7,50,0.82
Mumbai,400049,Watch,13,26,0,1601,19059,30,50,27242,65066,319.7,50,0.75
Mumbai,400049,Bakery,14,14,0,1601,19059,30,50,27242,65066,319.7,50,0.89
Mumbai,400049,Shoe,18,21,0,1601,19059,30,50,27242,65066,319.7,50,0.77
Mumbai,400050,Cafe,30,11,1,2424,25655,35,47,43861,290852,772.3,53,0.83
Mumbai,400050,Watch,11,22,1,2424,25655,35,47,43861,290852,772.3,53,0.76
Mumbai,400050,Bakery,9,9,1,2424,25655,35,47,43861,290852,772.3,53,0.9
Mumbai,400050,Shoe,15,28,1,2424,25655,35,47,43861,290852,772.3,53,0.78
Mumbai,400051,Cafe,22,23,1,1783,34404,27,47,56194,157673,757.1,53,0.83
Mumbai,400051,Watch,15,34,1,1783,34404,27,47,56194,157673,757.1,53,0.76
Mumbai,400051,Bakery,12,22,1,1783,34404,27,47,56194,157673,757.1,53,0.9
Mumbai,400051,Shoe,19,32,1,1783,34404,27,47,56194,157673,757.1,53,0.78
Mumbai,400052,Cafe,26,20,1,2757,43713,33,49,67556,170675,63.3,51,0.82
Mumbai,400052,Watch,17,42,1,2757,43713,33,49,67556,170675,63.3,51,0.75
Mumbai,400052,Bakery,10,12,1,2757,43713,33,49,67556,170675,63.3,51,0.89
Mumbai,400052,Shoe,25,20,1,2757,43713,33,49,67556,170675,63.3,51,0.77
Mumbai,400053,Cafe,30,18,1,2348,19675,32,50,34159,353559,770.1,50,0.82
Mumbai,400053,Watch,12,40,1,2348,19675,32,50,34159,353559,770.1,50,0.75
Mumbai,400053,Bakery,11,19,1,2348,19675,32,50,34159,353559,770.1,50,0.89
Mumbai,400053,Shoe,22,36,1,2348,19675,32,50,34159,353559,770.1,50,0.77
Mumbai,400054,Cafe,27,11,0,1287,22349,32,49,39524,102078,403.5,51,0.82
Mumbai,400054,Watch,13,42,0,1287,22349,32,49,39524,102078,403.5,51,0.75
Mumbai,400054,Bakery,12,8,0,1287,22349,32,49,39524,102078,403.5,51,0.89
Mumbai,400054,Shoe,19,30,0,1287,22349,32,49,39524,102078,403.5,51,0.77
Mumbai,400055,Cafe,17,8,0,1624,18564,27,48,32861,77364,889.3,52,0.82
Mumbai,400055,Watch,16,46,0,1624,18564,27,48,32861,77364,889.3,52,0.75
Mumbai,400055,Bakery,16,20,0,1624,18564,27,48,32861,77364,889.3,52,0.89
Mumbai,400055,Shoe,20,28,0,1624,18564,27,48,32861,77364,889.3,52,0.77
Mumbai,400056,Cafe,24,17,1,2438,28692,35,50,51042,474760,510.4,50,0.82
Mumbai,400056,Watch,14,40,1,2438,28692,35,50,51042,474760,510.4,50,0.75
Mumbai,400056,Bakery,18,16,1,2438,28692,35,50,51042,474760,510.4,50,0.89
Mumbai,400056,Shoe,15,18,1,2438,28692,35,50,51042,474760,510.4,50,0.77
Mumbai,400057,Cafe,25,15,0,1475,35899,25,47,59668,52316,340.5,53,0.83
Mumbai,400057,Watch,15,21,0,1475,35899,25,47,59668,52316,340.5,53,0.76
Mumbai,400057,Bakery,10,8,0,1475,35899,25,47,59668,52316,340.5,53,0.9
Mumbai,400057,Shoe,24,27,0,1475,35899,25,47,59668,52316,340.5,53,0.78
Mumbai,400058,Cafe,16,28,1,2403,44067,35,47,68386,334484,189.5,53,0.83
Mumbai,400058,Watch,19,26,1,2403,44067,35,47,68386,334484,189.5,53,0.76
Mumbai,400058,Bakery,9,18,1,2403,44067,35,47,68386,334484,189.5,53,0.9
Mumbai,400058,Shoe,24,17,1,2403,44067,35,47,68386,334484,189.5,53,0.78
Mumbai,400059,Cafe,19,26,0,1352,45877,32,46,62633,147537,89.9,54,0.83
Mumbai,400059,Watch,18,21,0,1352,45877,32,46,62633,147537,89.9,54,0.76
Mumbai,400059,Bakery,13,15,0,1352,45877,32,46,62633,147537,89.9,54,0.9
Mumbai,400059,Shoe,13,30,0,1352,45877,32,46,62633,147537,89.9,54,0.78
Mumbai,400060,Cafe,30,15,1,2226,20899,29,47,30101,191379,265.8,53,0.83
Mumbai,400060,Watch,10,37,1,2226,20899,29,47,30101,191379,265.8,53,0.76
Mumbai,400060,Bakery,17,11,1,2226,20899,29,47,30101,191379,265.8,53,0.9
Mumbai,400060,Shoe,14,37,1,2226,20899,29,47,30101,191379,265.8,53,0.78
Mumbai,400061,Cafe,24,16,1,2709,25901,37,48,34206,289253,175.8,52,0.82
Mumbai,400061,Watch,17,25,1,2709,25901,37,48,34206,289253,175.8,52,0.75
Mumbai,400061,Bakery,8,3,1,2709,25901,37,48,34206,289253,175.8,52,0.89
Mumbai,400061,Shoe,23,37,1,2709,25901,37,48,34206,289253,175.8,52,0.77
Mumbai,400063,Cafe,17,29,1,2100,53302,29,49,79600,263381,408.1,51,0.82
Mumbai,400063,Watch,20,44,1,2100,53302,29,49,79600,263381,408.1,51,0.75
Mumbai,400063,Bakery,11,15,1,2100,53302,29,49,79600,263381,408.1,51,0.89
Mumbai,400063,Shoe,24,27,1,2100,53302,29,49,79600,263381,408.1,51,0.77
Mumbai,400064,Cafe,15,21,1,2387,40248,31,50,60172,279644,125.5,50,0.82
Mumbai,400064,Watch,10,39,1,2387,40248,31,50,60172,279644,125.5,50,0.75
Mumbai,400064,Bakery,8,24,1,2387,40248,31,50,60172,279644,125.5,50,0.89
Mumbai,400064,Shoe,15,33,1,2387,40248,31,50,60172,279644,125.5,50,0.77
Mumbai,400065,Cafe,29,27,1,2820,36093,38,47,53701,247445,270.6,53,0.83
Mumbai,400065,Watch,18,29,1,2820,36093,38,47,53701,247445,270.6,53,0.76
Mumbai,400065,Bakery,10,7,1,2820,36093,38,47,53701,247445,270.6,53,0.9
Mumbai,400065,Shoe,22,43,1,2820,36093,38,47,53701,247445,270.6,53,0.78
Mumbai,400066,Cafe,24,28,0,1594,24363,37,49,36138,67124,291.1,51,0.82
Mumbai,400066,Watch,11,28,0,1594,24363,37,49,36138,67124,291.1,51,0.75
Mumbai,400066,Bakery,9,13,0,1594,24363,37,49,36138,67124,291.1,51,0.89
Mumbai,400066,Shoe,15,28,0,1594,24363,37,49,36138,67124,291.1,51,0.77
Mumbai,400067,Cafe,23,9,0,1393,25803,32,49,46763,69213,117.7,51,0.82
Mumbai,400067,Watch,12,25,0,1393,25803,32,49,46763,69213,117.7,51,0.75
Mumbai,400067,Bakery,12,15,0,1393,25803,32,49,46763,69213,117.7,51,0.89
Mumbai,400067,Shoe,17,23,0,1393,25803,32,49,46763,69213,117.7,51,0.77
Mumbai,400068,Cafe,18,28,1,2620,39318,36,50,65193,418848,427.7,50,0.82
Mumbai,400068,Watch,18,31,1,2620,39318,36,50,65193,418848,427.7,50,0.75
Mumbai,400068,Bakery,13,23,1,2620,39318,36,50,65193,418848,427.7,50,0.89
Mumbai,400068,Shoe,25,29,1,2620,39318,36,50,65193,418848,427.7,50,0.77
Mumbai,400069,Cafe,26,24,1,1980,61380,27,46,72520,388739,48.0,54,0.83
Mumbai,400069,Watch,18,46,1,1980,61380,27,46,72520,388739,48.0,54,0.76
Mumbai,400069,Bakery,14,9,1,1980,61380,27,46,72520,388739,48.0,54,0.9
Mumbai,400069,Shoe,13,32,1,1980,61380,27,46,72520,388739,48.0,54,0.78
Mumbai,400070,Cafe,25,26,0,1648,29894,32,47,50109,92093,275.3,53,0.83
Mumbai,400070,Watch,20,30,0,1648,29894,32,47,50109,92093,275.3,53,0.76
Mumbai,400070,Bakery,8,17,0,1648,29894,32,47,50109,92093,275.3,53,0.9
Mumbai,400070,Shoe,24,26,0,1648,29894,32,47,50109,92093,275.3,53,0.78
Mumbai,400071,Cafe,19,16,1,3087,43645,25,48,72339,199739,465.0,52,0.82
Mumbai,400071,Watch,18,34,1,3087,43645,25,48,72339,199739,465.0,52,0.75
Mumbai,400071,Bakery,18,25,1,3087,43645,25,48,72339,199739,465.0,52,0.89
Mumbai,400071,Shoe,17,34,1,3087,43645,25,48,72339,199739,465.0,52,0.77
Mumbai,400072,Cafe,26,33,0,1687,43430,27,48,68389,68496,707.3,52,0.82
Mumbai,400072,Watch,10,30,0,1687,43430,27,48,68389,68496,707.3,52,0.75
Mumbai,400072,Bakery,13,14,0,1687,43430,27,48,68389,68496,707.3,52,0.89
Mumbai,400072,Shoe,25,25,0,1687,43430,27,48,68389,68496,707.3,52,0.77
Mumbai,400073,Cafe,29,15,1,2757,33480,34,47,51471,176703,123.2,53,0.83
Mumbai,400073,Watch,10,31,1,2757,33480,34,47,51471,176703,123.2,53,0.76
Mumbai,400073,Bakery,16,15,1,2757,33480,34,47,51471,176703,123.2,53,0.9
Mumbai,400073,Shoe,23,38,1,2757,33480,34,47,51471,176703,123.2,53,0.78
Mumbai,400074,Cafe,18,22,1,1976,45516,26,48,76836,480745,555.4,52,0.82
Mumbai,400074,Watch,14,32,1,1976,45516,26,48,76836,480745,555.4,52,0.75
Mumbai,400074,Bakery,16,16,1,1976,45516,26,48,76836,480745,555.4,52,0.89
Mumbai,400074,Shoe,16,17,1,1976,45516,26,48,76836,480745,555.4,52,0.77
Mumbai,400075,Cafe,30,26,1,2252,32942,25,50,49776,266372,532.5,50,0.82
Mumbai,400075,Watch,20,46,1,2252,32942,25,50,49776,266372,532.5,50,0.75
Mumbai,400075,Bakery,16,23,1,2252,32942,25,50,49776,266372,532.5,50,0.89
Mumbai,400075,Shoe,21,29,1,2252,32942,25,50,49776,266372,532.5,50,0.77
Mumbai,400076,Cafe,16,7,1,1825,30973,28,48,45535,224278,425.0,52,0.82
Mumbai,400076,Watch,11,44,1,1825,30973,28,48,45535,224278,425.0,52,0.75
Mumbai,400076,Bakery,18,6,1,1825,30973,28,48,45535,224278,425.0,52,0.89
Mumbai,400076,Shoe,19,42,1,1825,30973,28,48,45535,224278,425.0,52,0.77
Mumbai,400077,Cafe,18,20,1,2731,26759,28,47,32931,448966,238.7,53,0.83
Mumbai,400077,Watch,17,41,1,2731,26759,28,47,32931,448966,238.7,53,0.76
Mumbai,400077,Bakery,9,19,1,2731,26759,28,47,32931,448966,238.7,53,0.9
Mumbai,400077,Shoe,25,25,1,2731,26759,28,47,32931,448966,238.7,53,0.78
Mumbai,400078,Cafe,28,22,1,2036,29860,35,48,39674,457021,181.1,52,0.82
Mumbai,400078,Watch,18,29,1,2036,29860,35,48,39674,457021,181.1,52,0.75
Mumbai,400078,Bakery,14,4,1,2036,29860,35,48,39674,457021,181.1,52,0.89
Mumbai,400078,Shoe,14,21,1,2036,29860,35,48,39674,457021,181.1,52,0.77
Mumbai,400080,Cafe,26,20,1,2102,46314,36,49,78889,172339,363.6,51,0.82
Mumbai,400080,Watch,10,35,1,2102,46314,36,49,78889,172339,363.6,51,0.75
Mumbai,400080,Bakery,11,6,1,2102,46314,36,49,78889,172339,363.6,51,0.89
Mumbai,400080,Shoe,13,27,1,2102,46314,36,49,78889,172339,363.6,51,0.77
Mumbai,400081,Cafe,27,17,1,2462,30209,33,50,42156,295258,758.1,50,0.82
Mumbai,400081,Watch,15,49,1,2462,30209,33,50,42156,295258,758.1,50,0.75
Mumbai,400081,Bakery,9,9,1,2462,30209,33,50,42156,295258,758.1,50,0.89
Mumbai,400081,Shoe,24,27,1,2462,30209,33,50,42156,295258,758.1,50,0.77
Mumbai,400082,Cafe,20,21,0,1373,30594,29,47,53102,105875,695.9,53,0.83
Mumbai,400082,Watch,18,40,0,1373,30594,29,47,53102,105875,695.9,53,0.76
Mumbai,400082,Bakery,15,7,0,1373,30594,29,47,53102,105875,695.9,53,0.9
Mumbai,400082,Shoe,20,26,0,1373,30594,29,47,53102,105875,695.9,53,0.78
Mumbai,400083,Cafe,27,12,1,2388,29623,26,47,50141,290128,761.8,53,0.83
Mumbai,400083,Watch,10,24,1,2388,29623,26,47,50141,290128,761.8,53,0.76
Mumbai,400083,Bakery,18,14,1,2388,29623,26,47,50141,290128,761.8,53,0.9
Mumbai,400083,Shoe,19,33,1,2388,29623,26,47,50141,290128,761.8,53,0.78
Mumbai,400084,Cafe,15,17,1,2525,45893,25,49,70784,413532,266.0,51,0.82
Mumbai,400084,Watch,15,49,1,2525,45893,25,49,70784,413532,266.0,51,0.75
Mumbai,400084,Bakery,18,18,1,2525,45893,25,49,70784,413532,266.0,51,0.89
Mumbai,400084,Shoe,22,23,1,2525,45893,25,49,70784,413532,266.0,51,0.77
Mumbai,400085,Cafe,21,21,0,1672,45027,26,48,73747,134641,635.7,52,0.82
Mumbai,400085,Watch,18,40,0,1672,45027,26,48,73747,134641,635.7,52,0.75
Mumbai,400085,Bakery,18,9,0,1672,45027,26,48,73747,134641,635.7,52,0.89
Mumbai,400085,Shoe,25,32,0,1672,45027,26,48,73747,134641,635.7,52,0.77
Mumbai,400086,Cafe,15,19,1,2633,36622,38,48,56451,444987,703.4,52,0.82
Mumbai,400086,Watch,10,37,1,2633,36622,38,48,56451,444987,703.4,52,0.75
Mumbai,400086,Bakery,9,16,1,2633,36622,38,48,56451,444987,703.4,52,0.89
Mumbai,400086,Shoe,18,25,1,2633,36622,38,48,56451,444987,703.4,52,0.77
Mumbai,400087,Cafe,18,14,0,1269,46751,38,50,77352,106522,668.1,50,0.82
Mumbai,400087,Watch,10,29,0,1269,46751,38,50,77352,106522,668.1,50,0.75
Mumbai,400087,Bakery,18,10,0,1269,46751,38,50,77352,106522,668.1,50,0.89
Mumbai,400087,Shoe,21,36,0,1269,46751,38,50,77352,106522,668.1,50,0.77
Mumbai,400088,Cafe,15,10,1,2119,26018,27,46,41810,238398,876.7,54,0.83
Mumbai,400088,Watch,12,36,1,2119,26018,27,46,41810,238398,876.7,54,0.76
Mumbai,400088,Bakery,15,17,1,2119,26018,27,46,41810,238398,876.7,54,0.9
Mumbai,400088,Shoe,12,13,1,2119,26018,27,46,41810,238398,876.7,54,0.78
Mumbai,400089,Cafe,26,25,0,977,41393,29,47,66086,72514,694.5,53,0.83
Mumbai,400089,Watch,19,39,0,977,41393,29,47,66086,72514,694.5,53,0.76
Mumbai,400089,Bakery,8,7,0,977,41393,29,47,66086,72514,694.5,53,0.9
Mumbai,400089,Shoe,25,21,0,977,41393,29,47,66086,72514,694.5,53,0.78
Mumbai,400091,Cafe,27,16,0,1105,43716,35,47,64814,73788,537.7,53,0.83
Mumbai,400091,Watch,19,33,0,1105,43716,35,47,64814,73788,537.7,53,0.76
Mumbai,400091,Bakery,9,20,0,1105,43716,35,47,64814,73788,537.7,53,0.9
Mumbai,400091,Shoe,20,14,0,1105,43716,35,47,64814,73788,537.7,53,0.78
Mumbai,400092,Cafe,23,13,1,1887,36501,33,50,56050,250748,471.8,50,0.82
